Plac,Hast,Kusk,Tranare,Distans,Skor,Odds,Plats,Tid
1,SWIMMING POOL,Goop Björn,Wällstedt Ulrika,5/2640,Both,"6,12","1,74","17,3a"
2,PICASSO TILLY,Kihlström Örjan,Jansson Torbjörn,4/2640,Both,"(34)","1,50","17,5a"
3,CALYPSO AM,Söderkvist Stefan,Zukanovic Admir,2/2640,Both,"(59)","1,88","17,6a"
4,GREFSTADS ROYALTY,Karlstedt Ralf,,6/2640,Both,"(289)","","17,7a"
5,QUATTRO TÖLL,Uhrberg Thomas,,1/2640,Both,"(106)","","17,7a"
6,TOP YLLIT,Laursen Jens,Kjellén Mats,3/2640,Both,"(50)","","17,9a"
7,ROYAL T.K.,Jakobsson Magnus,Larsson Michael,7/2640,Both,"(329)","","18,1a"
0,BOOMER,Svensson Erik,,9/2640,Both,"(140)","","18,2a"
0,FLÖRTEN,Törnqvist Peter,,11/2640,Both,"(1176)","","18,8a"
d,REGGAE HALL,Sjöström Claes,,10/2640,Both,"(52)","","2ag"
